id,name,fullname,type,is_category,internal_type,external
567,config_PARAM_1_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\RestangularConfig.js/CAST_HTML5_JavaScript_SourceCode.config_PARAM_1_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
568,config_PARAM_1_3,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\appRoutes.js/CAST_HTML5_JavaScript_SourceCode.config_PARAM_1_3,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
569,describe_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\app.tests.js/CAST_HTML5_JavaScript_SourceCode.describe_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
570,it_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\app.tests.js/CAST_HTML5_JavaScript_SourceCode.describe_PARAM_2.it_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
571,app.tests.js,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\app.tests.js/CAST_HTML5_JavaScript_SourceCode/INIT,HTML5 JavaScript initialisation,HTML5 JavaScript initialisation,CAST_HTML5_JavaScript_Initialisation,1
572,exports,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
573,app_get_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_get_PARAM_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
574,Customer_find_PARAM_1,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_get_PARAM_2.Customer_find_PARAM_1,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
575,app_get_PARAM_2,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_get_PARAM_2_2,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
576,exec_PARAM_1,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\app\routes.js/CAST_HTML5_JavaScript_SourceCode.exports.app_get_PARAM_2_2.exec_PARAM_1,HTML5 JavaScript function,HTML5 JavaScript function,CAST_HTML5_JavaScript_Function,1
