caller_id,called_id,link_type
8569,8563,Call
8569,8565,Call
8569,8567,Call
8569,8568,Call
8570,8569,Call
8572,8571,Call
8574,8572,Call
8576,8574,Call
8576,8575,Call
8578,8574,Call
8578,8577,Call
8580,8574,Call
8580,8579,Call
8582,8576,Call
8582,8578,Call
8582,8580,Call
8582,8581,Call
8583,8582,Call
8587,8322,Call
8587,8586,Call
8588,8587,Call
8592,8322,Call
8592,8591,Call
8593,8592,Call
8597,8322,Call
8597,8596,Call
8598,8597,Call
8602,8322,Call
8602,8601,Call
8603,8602,Call
8607,8322,Call
8607,8606,Call
8608,8607,Call
8612,8322,Call
8612,8611,Call
8613,8612,Call
8617,8322,Call
8617,8616,Call
8618,8617,Call
8622,8322,Call
8622,8621,Call
8623,8622,Call
8627,8322,Call
8627,8626,Call
8628,8627,Call
8632,8322,Call
8632,8631,Call
8633,8632,Call
8635,8634,Call
8637,8635,Call
8639,1334,Call
8639,8637,Call
8639,8638,Call
8640,8639,Call
8642,8641,Call
8644,8642,Call
8644,8646,Call
8646,8645,Call
8646,8652,Call
8648,1310,Call
8648,8644,Call
8648,8647,Call
8650,8649,Call
8650,8652,Call
8651,8646,Call
8651,8648,Call
8651,8650,Call
8654,8653,Call
8656,8654,Call
8656,8658,Call
8658,8657,Call
8658,8664,Call
8660,1310,Call
8660,8656,Call
8660,8659,Call
8662,8661,Call
8662,8664,Call
8663,8658,Call
8663,8660,Call
8663,8662,Call
8666,8665,Call
8668,8666,Call
8668,8670,Call
8670,8669,Call
8670,8676,Call
8672,1310,Call
8672,8668,Call
8672,8671,Call
8674,8673,Call
8674,8676,Call
8675,8670,Call
8675,8672,Call
8675,8674,Call
8678,8677,Call
8680,8678,Call
8680,8682,Call
8682,8681,Call
8682,8688,Call
8684,1310,Call
8684,8680,Call
8684,8683,Call
8686,8685,Call
8686,8688,Call
8687,8682,Call
8687,8684,Call
8687,8686,Call
8690,8689,Call
8692,8690,Call
8692,8694,Call
8694,8693,Call
8694,8700,Call
8696,1310,Call
8696,8692,Call
8696,8695,Call
8698,8697,Call
8698,8700,Call
8699,8694,Call
8699,8696,Call
8699,8698,Call
8702,8701,Call
8704,8702,Call
8704,8706,Call
8706,8705,Call
